Vector Size (2^20),Iteration,C Timing (s),Assembly Timing (s)
1048576,1,0.005000,0.002000
,2,0.005000,0.002000
,3,0.004000,0.001000
,4,0.004000,0.002000
,5,0.005000,0.001000
,6,0.004000,0.001000
,7,0.005000,0.002000
,8,0.004000,0.001000
,9,0.004000,0.001000
,10,0.005000,0.002000
,11,0.004000,0.001000
,12,0.005000,0.002000
,13,0.004000,0.001000
,14,0.005000,0.002000
,15,0.004000,0.002000
,16,0.006000,0.001000
,17,0.005000,0.002000
,18,0.006000,0.001000
,19,0.006000,0.002000
,20,0.004000,0.001000
,21,0.006000,0.001000
,22,0.004000,0.002000
,23,0.005000,0.002000
,24,0.004000,0.001000
,25,0.005000,0.002000
,26,0.004000,0.002000
,27,0.005000,0.001000
,28,0.004000,0.001000
,29,0.005000,0.002000
,30,0.004000,0.001000

, , Average Time (s): 0.004667, Average Time (s): 0.001500
