Vector Size (2^24),Iteration,C Timing (s),Assembly Timing (s)
16777216,1,0.032000,0.043000
,2,0.019000,0.024000
,3,0.020000,0.023000
,4,0.019000,0.024000
,5,0.016000,0.024000
,6,0.017000,0.023000
,7,0.016000,0.029000
,8,0.016000,0.025000
,9,0.016000,0.024000
,10,0.016000,0.023000
,11,0.016000,0.023000
,12,0.016000,0.023000
,13,0.017000,0.023000
,14,0.016000,0.024000
,15,0.020000,0.025000
,16,0.022000,0.026000
,17,0.018000,0.023000
,18,0.017000,0.023000
,19,0.016000,0.023000
,20,0.015000,0.024000
,21,0.018000,0.023000
,22,0.018000,0.024000
,23,0.026000,0.023000
,24,0.028000,0.027000
,25,0.023000,0.025000
,26,0.024000,0.024000
,27,0.026000,0.023000
,28,0.019000,0.024000
,29,0.016000,0.024000
,30,0.016000,0.023000

, , Average Time (s): 0.019133, Average Time (s): 0.024633
